source,output,originalBytes,outputBytes,width,height,error
"04_projects/Rendszerbonto/354A3484.jpg","assets/ih-all/04_projects/rendszerbonto/354a3484.webp","2617950","258528","2500","1668",""
"04_projects/Rendszerbonto/DJI_20260410195726_0870_D.jpg","assets/ih-all/04_projects/rendszerbonto/dji_20260410195726_0870_d.webp","1527404","381300","1280","959",""
"04_projects/Rendszerbonto/Rockstarphotographers_KonczMarton_20260410_0223.JPG","assets/ih-all/04_projects/rendszerbonto/rockstarphotographers_konczmarton_20260410_0223.webp","2310025","68682","3500","2333",""
"04_projects/Rendszerbonto/rockstarphotographers-horvath-andras-20260410-16-34-2.jpg","assets/ih-all/04_projects/rendszerbonto/rockstarphotographers-horvath-andras-20260410-16-34-2.webp","1886408","470884","5472","3648",""
"04_projects/Rendszerbonto/rockstarphotographers-rb-bence-nagy-20260410-13-58(1).jpg","assets/ih-all/04_projects/rendszerbonto/rockstarphotographers-rb-bence-nagy-20260410-13-58-1.webp","3561419","348810","6000","4000",""
"04_projects/spotlight/1/1.png","assets/ih-all/04_projects/spotlight/1/1.webp","1925667","152412","1080","1350",""
"04_projects/spotlight/1/3.png","assets/ih-all/04_projects/spotlight/1/3.webp","1958610","93630","1080","1350",""
"04_projects/spotlight/1/4.png","assets/ih-all/04_projects/spotlight/1/4.webp","1481149","159714","1080","1350",""
"04_projects/spotlight/2/1.png","assets/ih-all/04_projects/spotlight/2/1.webp","1487447","83556","1080","1350",""
"04_projects/spotlight/2/3.png","assets/ih-all/04_projects/spotlight/2/3.webp","1478786","87224","1080","1350",""
"04_projects/spotlight/2/4.png","assets/ih-all/04_projects/spotlight/2/4.webp","992026","28612","1080","1350",""
"04_projects/spotlight/2/6.png","assets/ih-all/04_projects/spotlight/2/6.webp","2646484","206866","1080","1350",""
"04_projects/spotlight/3/20.png","assets/ih-all/04_projects/spotlight/3/20.webp","1058238","73748","1080","1350",""
"04_projects/spotlight/3/22.png","assets/ih-all/04_projects/spotlight/3/22.webp","2052157","38460","1080","1350",""
"04_projects/spotlight/3/24.png","assets/ih-all/04_projects/spotlight/3/24.webp","1143241","45308","1080","1350",""
"04_projects/spotlight/3/26.png","assets/ih-all/04_projects/spotlight/3/26.webp","1450600","55024","1080","1350",""
"04_projects/spotlight/4/1.png","assets/ih-all/04_projects/spotlight/4/1.webp","1355362","87262","1088","1358",""
"04_projects/spotlight/4/3.png","assets/ih-all/04_projects/spotlight/4/3.webp","3197159","311540","1080","1350",""
"04_projects/spotlight/4/5.png","assets/ih-all/04_projects/spotlight/4/5.webp","2097148","109766","1080","1350",""
"04_projects/spotlight/4/6.png","assets/ih-all/04_projects/spotlight/4/6.webp","2668343","138902","1080","1350",""
"04_projects/spotlight/5/50.png","assets/ih-all/04_projects/spotlight/5/50.webp","1867101","122868","1080","1350",""
"04_projects/spotlight/5/52.png","assets/ih-all/04_projects/spotlight/5/52.webp","2735102","230614","1080","1350",""
"04_projects/spotlight/5/54.png","assets/ih-all/04_projects/spotlight/5/54.webp","1378899","77872","1080","1350",""
"04_projects/spotlight/5/56.png","assets/ih-all/04_projects/spotlight/5/56.webp","2832675","258516","1080","1350",""
